city,type,value,timestamp
skopje,pm25,10,2018-04-10T14:00:00+02:00
skopje,pm25,11,2018-04-11T14:00:00+02:00
skopje,pm25,11,2018-04-12T14:00:00+02:00
skopje,pm25,13,2018-04-13T14:00:00+02:00
skopje,pm25,14,2018-04-14T14:00:00+02:00
skopje,pm25,15,2018-04-15T14:00:00+02:00
skopje,pm25,14,2018-04-16T14:00:00+02:00
skopje,pm25,15,2018-04-17T14:00:00+02:00
skopje,pm25,13,2018-04-18T14:00:00+02:00
skopje,pm25,13,2018-04-19T14:00:00+02:00
skopje,pm25,7,2018-04-20T14:00:00+02:00
skopje,pm25,7,2018-04-21T14:00:00+02:00
skopje,pm25,9,2018-04-22T14:00:00+02:00
skopje,pm25,11,2018-04-23T14:00:00+02:00
skopje,pm25,10,2018-04-24T14:00:00+02:00
skopje,pm25,11,2018-04-25T14:00:00+02:00
skopje,pm25,12,2018-04-26T14:00:00+02:00
skopje,pm25,13,2018-04-27T14:00:00+02:00
skopje,pm25,15,2018-04-28T14:00:00+02:00
skopje,pm25,14,2018-04-29T14:00:00+02:00
skopje,pm25,11,2018-04-30T14:00:00+02:00
skopje,pm25,11,2018-05-01T14:00:00+02:00
skopje,pm25,10,2018-05-02T14:00:00+02:00
skopje,pm25,14,2018-05-03T14:00:00+02:00
skopje,pm25,17,2018-05-04T14:00:00+02:00
skopje,pm25,13,2018-05-05T14:00:00+02:00
skopje,pm25,8,2018-05-06T14:00:00+02:00
skopje,pm25,13,2018-05-07T14:00:00+02:00
skopje,pm25,12,2018-05-08T14:00:00+02:00
skopje,pm25,9,2018-05-09T14:00:00+02:00
skopje,pm25,9,2018-05-10T14:00:00+02:00
skopje,pm25,8,2018-05-11T14:00:00+02:00
skopje,pm25,7,2018-05-12T14:00:00+02:00
skopje,pm25,8,2018-05-13T14:00:00+02:00
skopje,pm25,10,2018-05-14T14:00:00+02:00
skopje,pm25,10,2018-05-15T14:00:00+02:00
skopje,pm25,4,2018-05-16T14:00:00+02:00
skopje,pm25,5,2018-05-17T14:00:00+02:00
skopje,pm25,5,2018-05-18T14:00:00+02:00
skopje,pm25,7,2018-05-19T14:00:00+02:00
skopje,pm25,10,2018-05-20T14:00:00+02:00
skopje,pm25,8,2018-05-21T14:00:00+02:00
skopje,pm25,13,2018-05-22T14:00:00+02:00
skopje,pm25,12,2018-05-23T14:00:00+02:00
skopje,pm25,7,2018-05-24T14:00:00+02:00
skopje,pm25,8,2018-05-25T14:00:00+02:00
